,가렌,나르,다리우스,베인,세트,암베사,우르곳,이렐리아,일라오이,자르반,퀸,,그웬,말파이트,모데카이저,블라디미르,신지드,에코,오로라,케넨,티모,로크,세주아니,,,ad대,ap대,총대
오로라,0,,0,,0,2,,2,0,3,,,0,,0,,,2,0,0,0,,,,,7,2,9
오른,2,,0,0,2,3,,,3,,,,1,0,3,,2,0,,0,0,,,,,10,6,16
올라프,0,,0,,3,0,0,,3,0,0,,0,,0,,0,0,3,0,0,,,,,6,3,9
요네,2,,3,,2,2,2,2,0,,,,0,3,1,,2,0,,3,1,,,,,13,10,23
요릭,0,,0,0,1,0,0,3,0,0,0,,1,0,0,0,3,0,0,0,0,,,,,4,4,8
우디르,,,,,3,3,,,0,,,,0,,,,,0,,3,,,,,,6,3,9
우르곳,0,,0,,0,0,0,,3,,,,0,,0,,,0,,3,0,,,,,3,3,6
워윅,0,,3,,0,0,,0,3,0,2,,0,,0,,,0,,3,0,,,,,8,3,11
이렐리아,2,0,3,0,3,0,1,0,0,0,,,0,2,0,,1,0,0,0,0,,,,,9,3,12
일라오이,0,,0,0,0,0,0,0,0,0,,,2,0,3,,0,0,2,3,3,,,,,0,13,13
자크,1,2,1,,1,0,,,3,,,,3,,,,2,0,,0,,,,,,8,5,13
자헨,2,,2,2,2,1,,0,2,,,,1,2,1,,2,0,,3,2,,,,,11,11,22
잭스,2,,0,0,0,0,2,0,3,0,2,,0,3,1,,2,0,1,2,1,,,,,9,10,19
제이스,0,,0,0,0,1,1,3,0,0,2,,0,3,0,,0,0,0,0,0,,,,,7,3,10
초가스,0,,2,,3,3,,,1,,,,3,,1,,,0,,0,,,,,,9,4,13
카밀,0,,1,,1,0,,,3,,,,1,,1,,,0,,3,3,,,,,5,8,13
카시오페아,0,,0,0,0,0,,,0,2,0,,0,0,0,,0,2,,0,0,,,,,2,2,4
케넨,0,0,0,0,0,1,0,,0,0,,,0,1,0,,0,0,,0,0,,,,,1,1,2
케일,0,,0,,0,2,,,0,2,2,,0,2,,,0,,,3,,,,,,6,5,11
퀸,0,,0,0,0,2,,,0,2,0,,0,3,0,2,,,,1,3,,,,,4,9,13
크산테,3,2,1,2,0,0,1,0,2,0,,,1,0,0,,2,0,1,0,0,,,,,11,4,15
클레드,2,,0,,0,0,2,,2,,,,0,,0,,,0,,0,3,,,,,6,3,9
탐켄치,1,,1,0,2,1,,,3,0,,,2,0,3,,,0,,1,0,,,,,8,6,14
트런들,0,2,0,,1,1,,0,3,0,,,0,0,2,,,0,,3,3,,,,,7,8,15
트린다미어,0,,2,0,2,0,0,0,0,0,,,0,2,0,,,0,,2,2,,,,,4,6,10
티모,0,,0,0,0,0,0,,0,1,0,,0,2,0,,0,,2,2,0,,,,,1,6,7
판테온,0,,0,0,0,0,3,0,2,0,,,0,2,0,,0,0,,0,0,,,,,5,2,7
피오라,0,,2,0,3,2,2,0,3,,,,0,2,1,,,0,,2,3,,,,,12,8,20
하이머딩거,0,,0,0,0,0,0,0,0,2,,,0,0,0,,0,0,1,0,0,,,,,2,1,3
20260703,37,21,46,19,54,52,32,32,86,15,14,,41,47,56,4,37,11,14,81,37,0,0,,,,,
선호도,1.18,1.23,1.3,1.4,1.08,1.2,1.39,1,1.29,0.8,1.24,,1.28,1.35,0.99,0.69,1.5,1.09,0.7,1.49,1.38,0.5,0.51,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나피리,,,,,,,,2,,,,,,,,,,,,0,,,,,,2,0,2
녹턴,1,,2,,0,2,,0,0,,,,0,,0,,,0,,2,,,,,,5,2,7
니달리,0,,,,,,,2,,,,,,,,,,,,,,,,,,2,0,2
렉사이,,,,,,,,,2,,,,,,,,,,,,,,,,,2,0,2
룰루,0,,0,,0,0,,,0,3,,,0,0,0,,,1,,2,0,,,,,3,3,6
리신,0,,0,,3,0,,,0,,,,0,,0,,,0,,2,3,,,,,3,5,8
비에고,1,,1,,3,1,,,3,,,,,,1,,,0,,1,3,,,,,9,5,14
쉬바나,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
스몰더,0,,0,,0,2,,2,0,3,,,0,,,,0,3,,2,,,,,,7,5,12
아크샨,0,,0,,0,,,,0,,,,,3,,,,,,0,,,,,,0,3,3
제드,1,,0,,3,,,,0,,,,,3,,,,2,,0,0,,,,,4,5,9
카르마,0,,0,,0,3,,,0,0,,,0,0,0,,,,,0,,,,,,3,0,3
카이사,0,,0,,0,,,3,0,,,,,3,,,,3,,0,3,,,,,3,9,12
트페,,,0,,,,,,,,,,,,,,,,,3,,,,,,0,3,3
피들스틱,0,,0,,1,,,,0,3,,,,,,,,,,0,0,,,,,4,0,4
